order,name,aliases,families
1,Sigmund Freud,,Psicanalítica e Psicodinâmica
2,Anna Freud,,Psicanalítica e Psicodinâmica
3,Carl Gustav Jung,,Psicanalítica e Psicodinâmica
4,Alfred Adler,,Psicanalítica e Psicodinâmica
5,Melanie Klein,,Psicanalítica e Psicodinâmica
6,Donald Winnicott,,Psicanalítica e Psicodinâmica
7,W. R. D. Fairbairn,,Psicanalítica e Psicodinâmica
8,Heinz Kohut,,Psicanalítica e Psicodinâmica
9,Erik Erikson,,Psicanalítica e Psicodinâmica
10,Harry Stack Sullivan,,Psicanalítica e Psicodinâmica | Interpessoal e Relacional Contemporânea
11,Karen Horney,,Psicanalítica e Psicodinâmica
12,Otto Kernberg,,Psicanalítica e Psicodinâmica
13,Heinz Hartmann,,Psicanalítica e Psicodinâmica
14,Margaret Mahler,,Psicanalítica e Psicodinâmica
15,Wilfred Bion,,Psicanalítica e Psicodinâmica
16,Jacques Lacan,,Psicanalítica e Psicodinâmica
17,Sandor Ferenczi,,Psicanalítica e Psicodinâmica
18,Michael Balint,,Psicanalítica e Psicodinâmica
19,John Bowlby,,Psicanalítica e Psicodinâmica
20,Nancy McWilliams,,Psicanalítica e Psicodinâmica
21,Stephen Mitchell,,Psicanalítica e Psicodinâmica | Interpessoal e Relacional Contemporânea
22,Jessica Benjamin,,Psicanalítica e Psicodinâmica | Interpessoal e Relacional Contemporânea
23,Thomas Ogden,,Psicanalítica e Psicodinâmica
24,Christopher Bollas,,Psicanalítica e Psicodinâmica
25,Carl Rogers,,Existencial-Humanista
26,Abraham Maslow,,Existencial-Humanista
27,Rollo May,,Existencial-Humanista
28,Viktor Frankl,,Existencial-Humanista
29,Fritz Perls,,Existencial-Humanista
30,Laura Perls,,Existencial-Humanista
31,Paul Goodman,,Existencial-Humanista
32,Eugene Gendlin,,Existencial-Humanista
33,Leslie S. Greenberg,Leslie Greenberg,Existencial-Humanista | Integrativa e Eclética
34,Robert Elliott,,Existencial-Humanista
35,James F. T. Bugental,James Bugental,Existencial-Humanista
36,Irvin Yalom,,Existencial-Humanista
37,Kirk Schneider,,Existencial-Humanista
38,Clark Moustakas,,Existencial-Humanista
39,Ivan Pavlov,,Comportamental
40,John B. Watson,,Comportamental
41,Edward Thorndike,,Comportamental
42,B. F. Skinner,,Comportamental
43,Clark Hull,,Comportamental
44,Edward C. Tolman,,Comportamental
45,Joseph Wolpe,,Comportamental
46,Albert Bandura,,Comportamental
47,Neal Miller,,Comportamental
48,Hans Eysenck,,Comportamental
49,Ogden Lindsley,,Comportamental
50,Donald Baer,,Comportamental
51,Montrose Wolf,,Comportamental
52,Sidney Bijou,,Comportamental
53,Aaron T. Beck,,Cognitiva e Cognitivo-Comportamental
54,Albert Ellis,,Cognitiva e Cognitivo-Comportamental
55,Judith S. Beck,,Cognitiva e Cognitivo-Comportamental
56,Donald Meichenbaum,,Cognitiva e Cognitivo-Comportamental
57,David D. Burns,,Cognitiva e Cognitivo-Comportamental
58,Jeffrey Young,,Cognitiva e Cognitivo-Comportamental
59,Marsha M. Linehan,,Cognitiva e Cognitivo-Comportamental
60,Steven C. Hayes,,Cognitiva e Cognitivo-Comportamental
61,Kelly G. Wilson,,Cognitiva e Cognitivo-Comportamental
62,Zindel Segal,,Cognitiva e Cognitivo-Comportamental
63,Mark Williams,,Cognitiva e Cognitivo-Comportamental
64,John Teasdale,,Cognitiva e Cognitivo-Comportamental
65,Adrian Wells,,Cognitiva e Cognitivo-Comportamental
66,Steven Reiss,,Cognitiva e Cognitivo-Comportamental
67,Arthur Freeman,,Cognitiva e Cognitivo-Comportamental
68,Christine Padesky,,Cognitiva e Cognitivo-Comportamental
69,Dennis Greenberger,,Cognitiva e Cognitivo-Comportamental
70,Robert L. Leahy,,Cognitiva e Cognitivo-Comportamental
71,Stefan G. Hofmann,,Cognitiva e Cognitivo-Comportamental
72,David H. Barlow,,Cognitiva e Cognitivo-Comportamental
73,Edna Foa,,Cognitiva e Cognitivo-Comportamental
74,David M. Clark,,Cognitiva e Cognitivo-Comportamental
75,Michelle Craske,,Cognitiva e Cognitivo-Comportamental
76,Salvador Minuchin,,"Sistêmica, Familiar e de Casais"
77,Murray Bowen,,"Sistêmica, Familiar e de Casais"
78,Jay Haley,,"Sistêmica, Familiar e de Casais | Modelos Pragmáticos e Focados em Objetivo"
79,Cloe Madanes,,"Sistêmica, Familiar e de Casais"
80,Virginia Satir,,"Sistêmica, Familiar e de Casais"
81,Carl Whitaker,,"Sistêmica, Familiar e de Casais"
82,Mara Selvini Palazzoli,,"Sistêmica, Familiar e de Casais"
83,Luigi Boscolo,,"Sistêmica, Familiar e de Casais"
84,Gianfranco Cecchin,,"Sistêmica, Familiar e de Casais"
85,Steve de Shazer,,"Sistêmica, Familiar e de Casais | Modelos Pragmáticos e Focados em Objetivo"
86,Insoo Kim Berg,,"Sistêmica, Familiar e de Casais | Modelos Pragmáticos e Focados em Objetivo"
