order,name,aliases,families,filename,status
1,Sigmund Freud,,Psicanalítica e Psicodinâmica,cecistudy_ficha_sigmund_freud.md,OK
2,Anna Freud,,Psicanalítica e Psicodinâmica,cecistudy_ficha_anna_freud.md,OK
3,Carl Gustav Jung,,Psicanalítica e Psicodinâmica,cecistudy_ficha_carl_gustav_jung.md,OK
4,Alfred Adler,,Psicanalítica e Psicodinâmica,cecistudy_ficha_alfred_adler.md,OK
5,Melanie Klein,,Psicanalítica e Psicodinâmica,cecistudy_ficha_melanie_klein.md,OK
6,Donald Winnicott,,Psicanalítica e Psicodinâmica,cecistudy_ficha_donald_winnicott.md,OK
7,W. R. D. Fairbairn,,Psicanalítica e Psicodinâmica,cecistudy_ficha_w_r_d_fairbairn.md,OK
8,Heinz Kohut,,Psicanalítica e Psicodinâmica,cecistudy_ficha_heinz_kohut.md,OK
9,Erik Erikson,,Psicanalítica e Psicodinâmica,cecistudy_ficha_erik_erikson.md,OK
10,Harry Stack Sullivan,,Psicanalítica e Psicodinâmica | Interpessoal e Relacional Contemporânea,cecistudy_ficha_harry_stack_sullivan.md,OK
11,Karen Horney,,Psicanalítica e Psicodinâmica,cecistudy_ficha_karen_horney.md,OK
12,Otto Kernberg,,Psicanalítica e Psicodinâmica,cecistudy_ficha_otto_kernberg.md,OK
13,Heinz Hartmann,,Psicanalítica e Psicodinâmica,cecistudy_ficha_heinz_hartmann.md,OK
14,Margaret Mahler,,Psicanalítica e Psicodinâmica,cecistudy_ficha_margaret_mahler.md,OK
15,Wilfred Bion,,Psicanalítica e Psicodinâmica,cecistudy_ficha_wilfred_bion.md,OK
16,Jacques Lacan,,Psicanalítica e Psicodinâmica,cecistudy_ficha_jacques_lacan.md,OK
17,Sandor Ferenczi,,Psicanalítica e Psicodinâmica,cecistudy_ficha_sandor_ferenczi.md,OK
18,Michael Balint,,Psicanalítica e Psicodinâmica,cecistudy_ficha_michael_balint.md,OK
19,John Bowlby,,Psicanalítica e Psicodinâmica,cecistudy_ficha_john_bowlby.md,OK
20,Nancy McWilliams,,Psicanalítica e Psicodinâmica,cecistudy_ficha_nancy_mcwilliams.md,OK
21,Stephen Mitchell,,Psicanalítica e Psicodinâmica | Interpessoal e Relacional Contemporânea,cecistudy_ficha_stephen_mitchell.md,OK
22,Jessica Benjamin,,Psicanalítica e Psicodinâmica | Interpessoal e Relacional Contemporânea,cecistudy_ficha_jessica_benjamin.md,OK
23,Thomas Ogden,,Psicanalítica e Psicodinâmica,cecistudy_ficha_thomas_ogden.md,OK
